DATE,labor_percent,total_emp_cons,new_private_house,GDP,p_saving_rate,PPI_Cement,permit,income,IPI_Cement,mortgage_rate,home_ow_rate,MSPUS,target,PPI_Concrete,all_Const_Emp,emratio,monthly_supply,unemployed_rate,house_st,population,new_private_hw_under
1987-01-01,65.4,5007.0,9402.222448923754,4722.156,9.4,100.1,1690.0,3820.2,123.7373,9.204,63.9,97900.0,63.735,4.703203926259457,722.3,61.0,6.0,6.6,1774.0,241857.0,1090.0
1987-02-01,65.5,5038.0,8834.309923117578,4722.156,8.2,100.8,1689.0,3845.0,123.167,9.0825,63.9,97900.0,64.135,4.703203926259457,724.2,61.1,6.2,6.6,1784.0,242005.0,1096.0
1987-03-01,65.5,5039.0,8359.28256541693,4722.156,8.1,101.2,1704.0,3863.8,122.5706,9.035,63.9,97900.0,64.47,4.703203926259457,727.9,61.2,6.0,6.6,1726.0,242166.0,1084.0
1987-04-01,65.4,5053.0,8611.578608611078,4806.16,4.1,100.8,1601.0,3875.4,123.5345,9.8325,63.9,103400.0,64.973,4.703203926259457,728.1,61.3,6.0,6.3,1614.0,242338.0,1079.0
1987-05-01,65.7,5080.0,8476.017289982936,4806.16,7.8,101.2,1500.0,3908.6,123.8454,10.596,63.9,103400.0,65.547,4.697749367281185,727.6,61.6,6.7,6.3,1628.0,242516.0,1070.0
1987-06-01,65.5,5086.0,7998.834983181915,4806.16,7.3,101.2,1522.0,3919.7,123.3012,10.5375,63.9,103400.0,66.218,4.697749367281185,728.5,61.4,6.9,6.2,1594.0,242706.0,1060.0
1987-07-01,65.6,5092.0,8304.098283647558,4884.555,7.1,101.1,1516.0,3942.1,127.3025,10.278,64.1,106000.0,66.786,4.697749367281185,732.1,61.6,6.7,6.1,1575.0,242908.0,1051.0
1987-08-01,65.7,5102.0,7931.979598642457,4884.555,6.8,101.1,1511.0,3978.6,122.6327,10.33,64.1,106000.0,67.27,4.697749367281185,729.2,61.8,6.8,6.0,1605.0,243118.0,1045.0
1987-09-01,65.5,5096.0,7707.915354156771,4884.555,7.2,101.1,1514.0,3995.6,125.4097,10.8875,64.1,106000.0,67.624,4.697749367281185,731.6,61.6,6.8,5.9,1695.0,243335.0,1048.0
1987-10-01,65.7,5142.0,7647.574557258976,5007.994,7.9,101.0,1447.0,4034.7,127.4145,11.26,64.1,111500.0,67.903,4.697749367281185,741.3,61.8,6.8,6.0,1515.0,243543.0,1041.0
1987-11-01,65.7,5152.0,7653.604449251637,5007.994,8.2,100.9,1457.0,4062.1,127.2895,10.65,64.1,111500.0,68.093,4.697749367281185,742.8,61.9,7.0,5.8,1656.0,243724.0,1042.0
1987-12-01,65.7,5180.0,7980.5907873030255,5007.994,8.4,100.6,1345.0,4115.7,124.5768,10.64,64.1,111500.0,68.344,4.697749367281185,743.5,62.0,7.6,5.7,1400.0,243895.0,1018.0
1988-01-01,65.8,5094.0,7509.145247405177,5073.372,7.9,100.7,1244.0,4128.2,111.7494,10.3825,63.8,110000.0,68.583,4.697749367281185,745.0,62.0,7.5,5.7,1271.0,244056.0,1008.0
1988-02-01,65.9,5162.0,6889.513568044295,5073.372,8.4,101.5,1438.0,4153.0,119.6235,9.8925,63.8,110000.0,68.916,4.697749367281185,747.0,62.1,6.6,5.7,1473.0,244205.0,976.0
1988-03-01,65.7,5201.0,7786.497029659836,5073.372,8.0,101.1,1525.0,4178.3,124.8638,9.93,63.8,110000.0,69.325,4.722063937459591,750.1,61.9,6.6,5.7,1532.0,244362.0,994.0
1988-04-01,65.8,5227.0,7877.361773221525,5190.036,8.7,101.6,1429.0,4209.5,123.2387,10.202,63.8,110000.0,69.789,4.722063937459591,754.0,62.2,6.4,5.4,1573.0,244528.0,999.0
1988-05-01,65.7,5228.0,7084.990620381519,5190.036,8.3,102.3,1444.0,4225.9,125.8846,10.455,63.8,110000.0,70.4089999999999,4.722063937459591,751.2,62.0,6.6,5.6,1421.0,244708.0,987.0
1988-06-01,65.8,5261.0,7257.652032482941,5190.036,8.4,101.7,1485.0,4258.9,126.7927,10.46,63.8,110000.0,71.068,4.722063937459591,757.0,62.3,6.2,5.4,1478.0,244914.0,980.0
1988-07-01,65.9,5270.0,7347.277986832562,5282.835,8.6,101.5,1439.0,4298.8,120.8889,10.432,63.8,115000.0,71.686,4.72384171570559,747.1,62.3,6.6,5.4,1467.0,245131.0,971.0
1988-08-01,66.1,5268.0,7491.125894983443,5282.835,8.4,101.4,1460.0,4323.0,119.923,10.5975,63.8,115000.0,72.185,4.718498871295094,744.5,62.4,6.6,5.6,1493.0,245352.0,967.0
1988-09-01,65.9,5270.0,7371.214605239982,5282.835,8.8,100.9,1436.0,4352.5,121.2472,10.48,63.8,115000.0,72.574,4.722953221644475,740.5,62.4,6.5,5.4,1492.0,245579.0,958.0
1988-10-01,66.0,5262.0,7359.2443875162735,5399.509,8.6,100.7,1516.0,4391.1,120.9774,10.3025,63.8,113900.0,72.822,4.722953221644475,732.8,62.5,6.0,5.4,1522.0,245789.0,953.0
1988-11-01,66.2,5273.0,6636.427019988884,5399.509,8.4,100.6,1508.0,4402.5,121.3659,10.265,63.8,113900.0,73.065,4.725616339063959,731.7,62.7,7.2,5.3,1569.0,245970.0,960.0
1988-12-01,66.1,5277.0,7467.113310124595,5399.509,8.3,100.6,1501.0,4438.6,127.0205,10.612,63.8,113900.0,73.279,4.725616339063959,730.4,62.6,6.8,5.3,1563.0,246140.0,955.0
1989-01-01,66.5,5289.0,7551.223374062107,5511.253,8.5,100.7,1466.0,4501.5,132.6783,10.73,64.0,118000.0,73.617,4.725616339063959,734.9,62.9,6.2,5.4,1621.0,246301.0,955.0
1989-02-01,66.3,5278.0,7768.348930543018,5511.253,8.9,100.2,1383.0,4529.6,114.8575,10.645,64.0,118000.0,73.968,4.739701078945697,721.9,62.9,7.5,5.2,1425.0,246454.0,947.0
1989-03-01,66.3,5260.0,6842.287390443028,5511.253,9.4,100.2,1214.0,4570.2,115.9009,11.032,64.0,118000.0,74.41,4.745801315727837,707.1,62.9,8.2,5.0,1422.0,246626.0,940.0
1989-04-01,66.4,5295.0,7437.118864364569,5612.463,8.3,101.2,1376.0,4582.5,119.4545,11.05,63.9,118900.0,74.868,4.81380905109942,707.9,62.9,7.4,5.2,1339.0,246814.0,922.0
1989-05-01,66.3,5299.0,6883.606813904234,5612.463,8.0,101.2,1381.0,4579.4,118.1679,10.7725,63.9,118900.0,75.296,4.81380905109942,709.3,62.9,7.1,5.2,1331.0,247010.0,913.0
1989-06-01,66.5,5298.0,6280.631360339622,5612.463,8.1,101.2,1322.0,4602.2,117.488,10.196,63.9,118900.0,75.696,4.81380905109942,706.6,63.0,7.2,5.3,1397.0,247228.0,913.0
1989-07-01,66.5,5317.0,6513.506817374272,5695.365,8.1,101.2,1283.0,4628.5,117.972,9.8825,63.9,120000.0,76.042,4.81380905109942,708.9,63.0,6.1,5.2,1427.0,247458.0,918.0
1989-08-01,66.5,5330.0,6765.6811227660755,5695.365,7.5,100.9,1334.0,4639.1,123.8397,9.985,63.9,120000.0,76.273,4.81380905109942,716.6,63.1,6.4,5.2,1332.0,247695.0,901.0
1989-09-01,66.4,5323.0,6234.256818232034,5695.365,7.9,101.6,1314.0,4662.3,120.7576,10.126,63.9,120000.0,76.422,4.81380905109942,710.1,62.8,7.1,5.3,1279.0,247942.0,895.0
1989-10-01,66.5,5347.0,6205.307013120731,5747.237,8.4,101.7,1365.0,4703.0,124.1226,9.9475,63.7,124800.0,76.4889999999999,4.81380905109942,707.5,62.9,6.9,5.3,1410.0,248174.0,897.0
1989-11-01,66.6,5364.0,7037.503903209987,5747.237,8.5,101.6,1344.0,4718.1,125.519,9.7675,63.7,124800.0,76.5219999999999,4.81380905109942,708.1,63.0,6.6,5.4,1351.0,248380.0,882.0
1989-12-01,66.5,5309.0,6037.922356510111,5747.237,7.7,101.7,1422.0,4735.7,114.9318,9.744,63.7,124800.0,76.498,4.81380905109942,705.7,63.0,7.0,5.4,1251.0,248569.0,885.0
1990-01-01,66.8,5422.0,7233.78828078941,5872.701,7.9,101.7,1748.0,4783.8,138.1363,9.895,64.1,123900.0,76.527,4.81380905109942,710.3,63.2,7.0,5.4,1551.0,248743.0,891.0
1990-02-01,66.7,5416.0,6315.456414375264,5872.701,8.5,101.7,1329.0,4819.8,134.7538,10.1975,64.1,123900.0,76.587,4.81380905109942,707.3,63.2,7.6,5.3,1437.0,248920.0,898.0
1990-03-01,66.7,5392.0,6274.83085880067,5872.701,8.3,102.0,1246.0,4842.7,132.5115,10.268,64.1,123900.0,76.79,4.81380905109942,703.0,63.2,7.8,5.2,1289.0,249146.0,885.0
1990-04-01,66.6,5355.0,6199.520225099658,5960.028,8.7,102.5,1136.0,4883.8,127.1853,10.37,63.9,126800.0,77.038,4.81380905109942,692.5,63.0,8.3,5.4,1248.0,249436.0,872.0
1990-05-01,66.6,5321.0,6309.649617260578,5960.028,8.7,102.5,1067.0,4889.5,123.8842,10.4775,63.9,126800.0,77.297,4.81380905109942,688.6,63.1,8.2,5.4,1212.0,249707.0,858.0
1990-06-01,66.4,5303.0,5802.823144736325,5960.028,8.6,102.4,1108.0,4919.3,123.1067,10.164,63.9,126800.0,77.505,4.81380905109942,681.4,62.9,7.9,5.2,1177.0,249990.0,846.0
1990-07-01,66.5,5274.0,5986.158721438892,6015.116,8.7,102.7,1078.0,4948.2,122.3559,10.035,63.9,117000.0,77.561,4.81380905109942,673.9,62.8,7.8,5.5,1171.0,250285.0,831.0
1990-08-01,66.5,5234.0,6055.196295665774,6015.116,8.1,102.8,1069.0,4949.9,119.6385,10.1,63.9,117000.0,77.479,4.81380905109942,663.3,62.7,8.2,5.7,1115.0,250595.0,813.0
1990-09-01,66.4,5197.0,6084.0076726808265,6015.116,8.1,103.5,976.0,4978.6,118.6876,10.175,63.9,117000.0,77.229,4.837867950107113,656.8,62.5,8.4,5.9,1110.0,250904.0,793.0
1990-10-01,66.4,5134.0,5911.543851978813,6004.733,7.9,103.6,925.0,4966.5,113.6963,10.1775,64.0,121500.0,76.9119999999999,4.837867950107113,646.3,62.5,8.7,5.9,1014.0,251201.0,766.0
1990-11-01,66.4,5095.0,5717.271923719663,6004.733,8.0,103.7,941.0,4973.5,116.5566,10.014,64.0,121500.0,76.381,4.864452783918174,633.8,62.3,8.2,6.2,1145.0,251486.0,758.0
1990-12-01,66.4,5047.0,5293.317207534448,6004.733,8.8,103.8,861.0,5004.1,108.5216,9.6725,64.0,121500.0,75.972,4.864452783918174,624.3,62.2,8.5,6.3,969.0,251758.0,745.0
1991-01-01,66.2,4972.0,5159.021987991162,6035.178,9.4,105.0,786.0,4990.4,101.5934,9.6375,64.0,120000.0,75.533,4.864452783918174,610.0,62.0,9.4,6.4,798.0,252012.0,716.0
1991-02-01,66.2,4929.0,4831.801869806134,6035.178,9.0,105.3,853.0,4997.1,108.6813,9.365,64.0,120000.0,75.249,4.867534450455582,600.3,61.9,7.9,6.6,965.0,252253.0,710.0
1991-03-01,66.3,4881.0,5310.151539947016,6035.178,8.1,105.8,911.0,5005.8,105.2613,9.5,64.0,120000.0,75.136,4.876722876509988,598.0,61.8,7.3,6.8,921.0,252507.0,678.0
1991-04-01,66.4,4842.0,4848.338119568334,6126.862,8.7,106.3,916.0,5034.3,104.176,9.4925,64.1,119900.0,75.315,4.882044059723269,587.6,62.0,7.3,6.7,1001.0,252778.0,670.0
1991-05-01,66.2,4800.0,4721.844745656391,6126.862,8.5,106.7,991.0,5055.9,104.1175,9.472,64.1,119900.0,75.768,4.882044059723269,584.8,61.6,7.0,6.9,996.0,253060.0,662.0
1991-06-01,66.2,4782.0,4848.338119568334,6126.862,9.0,106.6,964.0,5090.8,105.9744,9.615,64.1,119900.0,76.253,4.882044059723269,579.9,61.7,7.0,6.9,1036.0,253350.0,654.0
1991-07-01,66.1,4752.0,4754.7797174559855,6205.937,8.4,106.4,973.0,5087.0,107.988,9.575,64.1,120000.0,76.517,4.882044059723269,574.1,61.6,7.1,6.8,1063.0,253650.0,652.0
1991-08-01,66.0,4733.0,4612.38748598631,6205.937,8.7,106.2,944.0,5108.4,107.1435,9.244,64.1,120000.0,76.594,4.882044059723269,569.3,61.5,6.8,6.9,1049.0,253966.0,651.0
1991-09-01,66.2,4728.0,5535.602156081139,6205.937,8.9,105.4,974.0,5141.5,108.3246,9.0075,64.1,120000.0,76.575,4.918520005188451,568.2,61.6,7.4,6.9,1015.0,254280.0,633.0
1991-10-01,66.1,4698.0,4754.7797174559855,6264.54,9.4,105.5,991.0,5157.7,108.7024,8.855,64.1,120000.0,76.29,4.900820428089049,563.3,61.5,6.7,7.0,1079.0,254576.0,630.0
1991-11-01,66.1,4640.0,4411.233774703017,6264.54,9.1,105.0,984.0,5177.0,103.8766,8.712,64.1,120000.0,76.03,4.900820428089049,558.2,61.4,6.2,7.0,1103.0,254841.0,636.0
1991-12-01,66.0,4647.0,4351.772961513353,6264.54,9.8,104.9,1061.0,5233.0,108.3124,8.4975,64.1,120000.0,75.844,4.900820428089049,554.8,61.2,6.2,7.3,1079.0,255089.0,633.0
1992-01-01,66.3,4667.0,4672.5266968893,6363.102,9.5,106.1,1077.0,5264.8,111.4657,8.432,64.1,119500.0,75.7,4.900820428089049,551.4,61.5,5.2,7.3,1176.0,255331.0,639.0
1992-02-01,66.2,4612.0,4875.923118546697,6363.102,9.8,105.8,1146.0,5303.2,110.439,8.7625,64.1,119500.0,75.655,4.900820428089049,545.6,61.3,4.9,7.4,1250.0,255576.0,630.0
1992-03-01,66.4,4621.0,5042.072839792168,6363.102,9.7,105.4,1082.0,5323.8,110.438,8.935,64.1,119500.0,75.814,4.900820428089049,544.7,61.5,6.1,7.4,1297.0,255848.0,656.0
1992-04-01,66.5,4603.0,4793.2604559614365,6470.763,9.8,105.2,1054.0,5357.4,113.3044,8.8525,64.1,120000.0,76.08,4.900820428089049,542.6,61.6,6.1,7.4,1099.0,256139.0,650.0
1992-05-01,66.6,4605.0,5371.966866762367,6470.763,9.8,105.5,1056.0,5392.4,113.5843,8.672,64.1,120000.0,76.398,4.900820428089049,542.6,61.5,6.0,7.6,1214.0,256437.0,650.0
1992-06-01,66.7,4584.0,5383.2210661558765,6470.763,10.0,105.4,1057.0,5424.0,112.737,8.51,64.1,120000.0,76.602,4.900820428089049,542.7,61.5,5.6,7.8,1145.0,256742.0,644.0
1992-07-01,66.7,4570.0,5734.362215538795,6566.641,9.5,105.0,1089.0,5437.1,112.1383,8.128,64.1,120000.0,76.711,4.900820428089049,546.7,61.6,5.3,7.7,1139.0,257063.0,629.0
